,brand,family,reference,name,movement,produced,caseMaterial,caseGlass,caseBack,caseShape,caseDiameter,caseHeight,caseLugWidth,dialColor,dialMaterial,dialIndexes,dialHands
0,a. lange & söhne,1815,"
730.032
(aka: 730032f, 730032)
",1815 tourbillon pink gold,"
a. lange & söhne caliber l102.1
hours, minutes, small seconds | tourbillon escapement
",2014,pink gold,sapphire,open,,39.50 mm,11.10 mm,20.00 mm,silver,silver,arabic numerals,alpha
1,a. lange & söhne,1815,"
239.050
",1815 thin honey gold homage to f. a. lange,"
a. lange & söhne caliber l093.1
hours, minutes
",2020,honey gold,sapphire,open,round,38.00 mm,6.30 mm,20.00 mm,white,enamel,arabic numerals,alpha
2,a. lange & söhne,1815,"
414.049
",1815 chronograph “best of show”,"
a. lange & söhne caliber l951.5
hours, minutes, small seconds | chronograph, column wheel, flyback
",2021,white gold,sapphire,hunter,round,39.50 mm,10.80 mm,20.00 mm,pink,pink gold,arabic numerals,alpha
3,a. lange & söhne,1815,"
206.029
",1815 35.9 white gold black,"
a. lange & söhne caliber l941.1
hours, minutes, small seconds
",2005 - 2008,white gold,,,,35.90 mm,7.50 mm,19.00 mm,black,silver,arabic numerals,alpha
4,a. lange & söhne,1815,"
234.042
",1815  up/down pink gold / blue / wempe,"
a. lange & söhne caliber l051.2
hours, minutes, small seconds | power reserve indicator
",2019,pink gold,sapphire,open,,39.00 mm,8.90 mm,20.00 mm,blue,silver,arabic numerals,alpha
5,a. lange & söhne,1815,"
236.049
",1815 200th anniversary f. a. lange,"
a. lange & söhne caliber l051.1
hours, minutes, small seconds
",2015,platinum,sapphire,open,round,40.00 mm,8.80 mm,,black,silver,arabic numerals,alpha
6,a. lange & söhne,1815,"
245.021
",1815 kalenderwoche,"
a. lange & söhne caliber l045.1
hours, minutes, small seconds | day, week indicator
",2006 - 2007,yellow gold,,open,,38.40 mm,9.80 mm,20.00 mm,silver,silver,arabic numerals,alpha
7,a. lange & söhne,1815,"
414.028
(aka: 414028)
",1815 chronograph white gold / black / pulsometer,"
a. lange & söhne caliber l951.5
hours, minutes, small seconds | chronograph, column wheel, flyback
",2017,white gold,sapphire,open,round,39.50 mm,10.80 mm,20.00 mm,black,silver,arabic numerals,alpha
8,a. lange & söhne,1815,"
206.021
",1815 yellow gold,"
a. lange & söhne caliber l941.1
hours, minutes, small seconds
",1995 - 2008,yellow gold,sapphire,open,round,35.90 mm,7.50 mm,19.00 mm,silver,silver,arabic numerals,alpha
9,a. lange & söhne,1815,"
425.050
",1815 rattrapante honey gold homage to f. a. lange,"
a. lange & söhne caliber l101.2
hours, minutes, small seconds | chronograph, column wheel, rattrapante
",2020,honey gold,sapphire,open,round,41.20 mm,,,black,silver,arabic numerals,alpha
